epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7743656635284424,52.0,0.6755698323249817,57.142857142857146
2,0.7031691074371338,60.0,0.6411145329475403,57.142857142857146
3,0.5989823937416077,72.0,0.608502984046936,85.71428571428571
4,0.4833163022994995,80.0,0.5814191699028015,85.71428571428571
5,0.3573719263076782,96.0,0.5560140013694763,100.0
